GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "34000","New Jersey",2,SAGDP8N,1,"...","All industry total ","Quantity index",76.949,78.164,80.976,85.394,86.366,87.742,89.786,90.864,92.589,94.090,95.041,97.139,92.590,94.014,92.949,95.025,96.757,96.714,98.530,99.485,100.000,102.848,104.847,101.209,107.181,110.193,112.507
 "34000","New Jersey",2,SAGDP8N,2,"..."," Private industries ","Quantity index",74.605,75.848,78.896,83.576,84.382,85.648,87.666,88.666,90.420,92.277,93.197,95.379,90.393,92.173,91.560,94.137,95.907,95.891,98.235,99.565,100.000,103.142,105.314,101.794,108.533,111.879,114.289
 "34000","New Jersey",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",66.769,68.527,70.172,92.591,79.145,88.290,85.997,81.853,93.499,109.729,87.669,77.982,99.028,85.091,74.641,73.738,68.877,69.881,91.004,104.798,100.000,101.371,121.532,115.097,106.504,108.355,100.947
 "34000","New Jersey",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",69.117,75.924,76.422,105.779,85.012,98.108,94.664,91.064,110.157,130.870,100.757,87.403,111.370,95.256,80.449,77.173,73.088,71.874,97.502,110.037,100.000,100.073,131.394,121.859,108.798,111.550,100.672
 "34000","New Jersey",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",61.777,51.547,55.647,63.796,65.791,66.043,66.379,60.700,54.241,60.289,56.808,56.323,70.667,61.621,61.675,67.589,60.116,67.621,78.509,94.882,100.000,103.860,103.562,102.674,103.079,102.579,104.468
 "34000","New Jersey",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",116.908,143.020,154.722,173.496,157.702,134.540,126.130,133.236,131.076,114.675,119.737,72.755,86.196,64.001,54.582,65.876,107.704,76.821,113.235,164.167,100.000,84.311,128.042,118.756,117.372,100.476,114.992
 "34000","New Jersey",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",21.442,15.713,14.812,14.771,7.111,23.324,12.704,27.893,49.074,22.574,27.207,17.200,83.651,32.442,20.467,24.395,20.916,23.417,64.841,503.911,100.000,58.240,246.268,128.408,51.467,28.888,51.267
 "34000","New Jersey",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",150.944,186.979,202.563,225.835,203.673,164.958,160.946,166.747,153.819,140.407,148.023,86.361,86.894,68.481,57.530,70.949,122.764,82.953,120.063,142.801,100.000,84.305,115.581,116.626,121.072,103.181,119.397
 "34000","New Jersey",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",14.150,13.196,14.046,21.546,31.366,48.728,27.488,25.558,44.936,40.342,27.057,39.089,53.223,46.035,58.707,58.106,67.742,70.033,89.835,118.958,100.000,104.146,139.606,102.000,96.527,112.968,85.112
 "34000","New Jersey",2,SAGDP8N,10,"22","  Utilities ","Quantity index",102.227,95.278,109.506,99.769,81.847,80.853,83.445,98.501,90.835,89.134,93.209,101.448,99.653,104.361,101.777,101.289,107.777,111.053,115.611,107.173,100.000,100.889,96.765,108.779,96.592,90.026,108.957
