fips,county_name,state_name,state_code
33013,Merrimack County,New Hampshire,NA
33015,Rockingham County,New Hampshire,NA
33017,Strafford County,New Hampshire,NA
33019,Sullivan County,New Hampshire,NA
34001,Atlantic County,New Jersey,NA
34003,Bergen County,New Jersey,NA
34005,Burlington County,New Jersey,NA
34007,Camden County,New Jersey,NA
34009,Cape May County,New Jersey,NA
34011,Cumberland County,New Jersey,NA
34013,Essex County,New Jersey,NA
34015,Gloucester County,New Jersey,NA
34017,Hudson County,New Jersey,NA
34019,Hunterdon County,New Jersey,NA
34021,Mercer County,New Jersey,NA
34023,Middlesex County,New Jersey,NA
34025,Monmouth County,New Jersey,NA
34027,Morris County,New Jersey,NA
34029,Ocean County,New Jersey,NA
34031,Passaic County,New Jersey,NA
34033,Salem County,New Jersey,NA
34035,Somerset County,New Jersey,NA
34037,Sussex County,New Jersey,NA
34039,Union County,New Jersey,NA
34041,Warren County,New Jersey,NA
36001,Albany County,New York,NA
36003,Allegany County,New York,NA
36005,Bronx County,New York,NA
36007,Broome County,New York,NA
36009,Cattaraugus County,New York,NA
36011,Cayuga County,New York,NA
36013,Chautauqua County,New York,NA
36015,Chemung County,New York,NA
36017,Chenango County,New York,NA
36019,Clinton County,New York,NA
36021,Columbia County,New York,NA
36023,Cortland County,New York,NA
36025,Delaware County,New York,NA
36027,Dutchess County,New York,NA
36029,Erie County,New York,NA
36031,Essex County,New York,NA
36033,Franklin County,New York,NA
36035,Fulton County,New York,NA
36037,Genesee County,New York,NA
36039,Greene County,New York,NA
36041,Hamilton County,New York,NA
36043,Herkimer County,New York,NA
36045,Jefferson County,New York,NA
36047,Kings County,New York,NA
36049,Lewis County,New York,NA
36051,Livingston County,New York,NA
36053,Madison County,New York,NA
36055,Monroe County,New York,NA
36057,Montgomery County,New York,NA
36059,Nassau County,New York,NA
36061,New York County,New York,NA
36063,Niagara County,New York,NA
36065,Oneida County,New York,NA
36067,Onondaga County,New York,NA
36069,Ontario County,New York,NA
36071,Orange County,New York,NA
36073,Orleans County,New York,NA
36075,Oswego County,New York,NA
36077,Otsego County,New York,NA
36079,Putnam County,New York,NA
36081,Queens County,New York,NA
36083,Rensselaer County,New York,NA
36085,Richmond County,New York,NA
36087,Rockland County,New York,NA
36089,St. Lawrence County,New York,NA
36091,Saratoga County,New York,NA
36093,Schenectady County,New York,NA
36095,Schoharie County,New York,NA
36097,Schuyler County,New York,NA
36099,Seneca County,New York,NA
36101,Steuben County,New York,NA
36103,Suffolk County,New York,NA
36105,Sullivan County,New York,NA
36107,Tioga County,New York,NA
36109,Tompkins County,New York,NA
36111,Ulster County,New York,NA
36113,Warren County,New York,NA
36115,Washington County,New York,NA
36117,Wayne County,New York,NA
36119,Westchester County,New York,NA
36121,Wyoming County,New York,NA
36123,Yates County,New York,NA
42001,Adams County,Pennsylvania,NA
42003,Allegheny County,Pennsylvania,NA
42005,Armstrong County,Pennsylvania,NA
42007,Beaver County,Pennsylvania,NA
42009,Bedford County,Pennsylvania,NA
42011,Berks County,Pennsylvania,NA
42013,Blair County,Pennsylvania,NA
42015,Bradford County,Pennsylvania,NA
42017,Bucks County,Pennsylvania,NA
42019,Butler County,Pennsylvania,NA
42021,Cambria County,Pennsylvania,NA
42023,Cameron County,Pennsylvania,NA
42025,Carbon County,Pennsylvania,NA
42027,Centre County,Pennsylvania,NA
42029,Chester County,Pennsylvania,NA
42031,Clarion County,Pennsylvania,NA
42033,Clearfield County,Pennsylvania,NA
42035,Clinton County,Pennsylvania,NA
42037,Columbia County,Pennsylvania,NA
42039,Crawford County,Pennsylvania,NA
42041,Cumberland County,Pennsylvania,NA
42043,Dauphin County,Pennsylvania,NA
42045,Delaware County,Pennsylvania,NA
42047,Elk County,Pennsylvania,NA
42049,Erie County,Pennsylvania,NA
42051,Fayette County,Pennsylvania,NA
42053,Forest County,Pennsylvania,NA
42055,Franklin County,Pennsylvania,NA
42057,Fulton County,Pennsylvania,NA
42059,Greene County,Pennsylvania,NA
42061,Huntingdon County,Pennsylvania,NA
42063,Indiana County,Pennsylvania,NA
42065,Jefferson County,Pennsylvania,NA
42067,Juniata County,Pennsylvania,NA
42069,Lackawanna County,Pennsylvania,NA
42071,Lancaster County,Pennsylvania,NA
42073,Lawrence County,Pennsylvania,NA
42075,Lebanon County,Pennsylvania,NA
42077,Lehigh County,Pennsylvania,NA
42079,Luzerne County,Pennsylvania,NA
42081,Lycoming County,Pennsylvania,NA
42083,McKean County,Pennsylvania,NA
42085,Mercer County,Pennsylvania,NA
42087,Mifflin County,Pennsylvania,NA
42089,Monroe County,Pennsylvania,NA
42091,Montgomery County,Pennsylvania,NA
42093,Montour County,Pennsylvania,NA
42095,Northampton County,Pennsylvania,NA
42097,Northumberland County,Pennsylvania,NA
42099,Perry County,Pennsylvania,NA
42101,Philadelphia County,Pennsylvania,NA
42103,Pike County,Pennsylvania,NA
42105,Potter County,Pennsylvania,NA
42107,Schuylkill County,Pennsylvania,NA
42109,Snyder County,Pennsylvania,NA
42111,Somerset County,Pennsylvania,NA
42113,Sullivan County,Pennsylvania,NA
42115,Susquehanna County,Pennsylvania,NA
42117,Tioga County,Pennsylvania,NA
42119,Union County,Pennsylvania,NA
42121,Venango County,Pennsylvania,NA
42123,Warren County,Pennsylvania,NA
42125,Washington County,Pennsylvania,NA
42127,Wayne County,Pennsylvania,NA
42129,Westmoreland County,Pennsylvania,NA
42131,Wyoming County,Pennsylvania,NA
42133,York County,Pennsylvania,NA
44001,Bristol County,Rhode Island,NA
44003,Kent County,Rhode Island,NA
44005,Newport County,Rhode Island,NA
44007,Providence County,Rhode Island,NA
44009,Washington County,Rhode Island,NA
50001,Addison County,Vermont,NA
50003,Bennington County,Vermont,NA
50005,Caledonia County,Vermont,NA
50007,Chittenden County,Vermont,NA
50009,Essex County,Vermont,NA
50011,Franklin County,Vermont,NA
50013,Grand Isle County,Vermont,NA
50015,Lamoille County,Vermont,NA
50017,Orange County,Vermont,NA
50019,Orleans County,Vermont,NA
50021,Rutland County,Vermont,NA
50023,Washington County,Vermont,NA
50025,Windham County,Vermont,NA
50027,Windsor County,Vermont,NA
09,NA,Connecticut,CT
23,NA,Maine,ME
25,NA,Massachusetts,MA
33,NA,New Hampshire,NH
34,NA,New Jersey,NJ
36,NA,New York,NY
42,NA,Pennsylvania,PA
44,NA,Rhode Island,RI
50,NA,Vermont,VT
00,NA,US,US
